corp_code,corp_name,stock_code,modify_date
1515864,넥스트칩,396270,20240219
1513404,하나머스트7호기업인수목적,372290,20240219
1676642,사피엔반도체,452430,20240219
1222867,제테마,216080,20240219
165103,푸드웰,005670,20230329
1387164,샤페론,378800,20240222
1336373,메드팩토,235980,20240214
1524118,나노팀,417010,20240219
121932,미원상사,002840,20230329
362858,예스24,053280,20230329
525642,코오롱생명과학,102940,20230329
617998,폴라리스세원,234100,20230329
219486,신세계I&C,035510,20230329
869272,서전기전,189860,20230329
299002,HL홀딩스,060980,20230329
356370,LG생활건강,051900,20230329
535676,테크윙,089030,20240223
1016479,오로스테크놀로지,322310,20230413
353610,이니텍,053350,20240119
1099667,에스디생명공학,217480,20240119
664288,스페이스솔루션,245030,20240214
886792,루켄테크놀러지스,162120,20240227
1033591,큐알티,405100,20240227
115472,미주제강,002670,20240226
1110058,바이오인프라,199730,20230329
795135,코오롱인더,120110,20230329
878696,에스케이바이오팜,326030,20230329
231901,LB인베스트먼트,309960,20230329
1267170,SK케미칼,285130,20230329
1413371,HLB사이언스,343090,20230329
155735,피제이전자,006140,20240223
111218,KD,044180,20240223
181943,에스제이엠홀딩스,025530,20240221
450339,에스에프씨,112240,20240221
595191,후성,093370,20240314
1351080,지아이이노베이션,358570,20240314
820352,파인텍,131760,20240228
120216,KB손해보험,002550,20240221
136271,신성이엔지,011930,20240222
426828,케이웨더,068100,20240222
149239,조일알미늄,018470,20240227
1498974,큐리옥스바이오시스템즈,445680,20240227
833064,엠플러스,259630,20240226
1526806,삼기이브이,419050,20240226
1328170,노드메이슨,317860,20230228
1365038,자람테크놀로지,389020,20230307
1231786,엑스페릭스,317770,20230717
1505450,디비금융제8호기업인수목적,367340,20230717
612294,피엔티,137400,20230223
264547,KG이니시스,035600,20230324
104768,가온전선,000500,20230324
405278,KG모빌리언스,046440,20230324
118266,DRB동일,004840,20230324
1179608,포인트엔지니어링,256630,20230324
382199,신한지주,055550,20230324
595182,아톤,158430,20230403
626464,지엔씨에너지,119850,20230403
1137903,디케이티,290550,20230403
1442115,소마젠,950200,20230403
1569102,라이콤,388790,20231010
167208,흥아해운,003280,20231010
756163,볼빅,206950,20231208
1528141,LS머트리얼즈,417200,20231212
297961,케이맥,043290,20240129
1335930,티움바이오,321550,20230816
1147487,뷰티스킨,406820,20230724
1065679,이노인스트루먼트,215790,20230727
1705777,엔에이치기업인수목적28호,450410,20231221
492706,씨싸이트,109670,20231221
150165,브이티,018290,20230721
1725577,SK증권제9호스팩,455910,20230721
390514,이루온,065440,20230223
165060,하이록코리아,013030,20230223
545716,롯데렌탈,089860,20230324
767460,PI첨단소재,178920,20230324
972503,일진하이솔루스,271940,20230324
1047415,정다운,208140,20230518
1205842,HD현대건설기계,267270,20230518
1205514,큐라켐,456190,20230518
599595,BGF에코머티리얼즈,126600,20231213
141626,오리엔트바이오,002630,20230524
104573,국일제지,078130,20240130
1144569,피엔티엠에스,257370,20231018
1093007,LS에코에너지,229640,20240117
521433,엔지브이아이,093510,20240117
1423837,모아데이타,288980,20230223
571298,덕우전자,263600,20230223
152729,광전자,017900,20230330
765569,기가비스,420770,20230524
562360,에코볼트,097780,20230822
693651,비덴트,121800,20230822
660459,나노씨엠에스,247660,20230926
1383229,저스템,417840,20230803
920379,티엘비,356860,20230223
105165,극동전선,006250,20230223
149594,한국캐피탈,023760,20230404
170026,시공테크,020710,20230404
607797,엄지하우스,224810,20230404
1187865,앙츠,267810,20230404
231707,비트컴퓨터,032850,20240108
360595,현대글로비스,086280,20240108
273439,메디아나,041920,20240109
403632,현대퓨처넷,126560,20240206
1540815,스튜디오삼익,415380,20240206
364403,쏠리드,050890,20231108
208444,피에스케이홀딩스,031980,20230223
161860,한성기업,003680,20230223
1237540,이녹스첨단소재,272290,20230223
1596656,메쎄이상,408920,20230404
480950,이아이디,093230,20231031
554024,셀트리온헬스케어,091990,20240112
148531,제이스코홀딩스,023440,20240208
122472,백광산업,001340,20240208
428251,현대백화점,069960,20240208
135962,신라교역,004970,20231114
1336461,뉴로메카,348340,20231204
1015160,와이팜,332570,20240208
187415,코미팜,041960,20230707
378220,버킷스튜디오,066410,20230707
163673,한진중공업홀딩스,003480,20230223
447609,비에이치,090460,20230620
106119,금양,001570,20230621
108940,대성홀딩스,016710,20230621
651017,나우IB,293580,20230919
1583397,하나금융20호기업인수목적,400560,20230919
1792791,IBKS제24호스팩,469480,20240201
617314,타이거일렉,219130,20230223
416414,넥스턴바이오,089140,20230223
120906,에스아이리소스,065420,20230705
219848,서희건설,035890,20230809
1256864,에이비엘바이오,298380,20230314
1205709,HD현대,267250,20240130
568188,마이크로컨텍솔,098120,20230223
140964,영원무역홀딩스,009970,20230223
311270,원텍,216280,20230223
1364297,코퍼스코리아,322780,20230223
1579570,시큐레터,418250,20230824
132637,동원시스템즈,014820,20231101
1199550,HD현대에너지솔루션,322000,20231101
543107,오킨스전자,080580,20230223
164502,현대공업,170030,20230418
1010110,더블유게임즈,192080,20230418
1189438,HLB바이오스텝,278650,20230418
1190513,명진홀딩스,267060,20230418
1721809,현대그린푸드,453340,20230427
106669,세아베스틸지주,001430,20230330
140061,TKG애강,022220,20230330
156910,SBI인베스트먼트,019550,20230330
160843,DB하이텍,000990,20230330
156895,아주IB투자,027360,20230223
209443,우리금융캐피탈,033660,20230710
657002,에이디테크놀로지,200710,20230712
380429,CMG제약,058820,20230717
1315042,씨유박스,340810,20230920
1430475,코람코라이프인프라리츠,357120,20230920
138695,뉴아세아,013340,20231114
1323032,케이카,381970,20231114
173078,명신산업,009900,20230330
365387,AJ네트웍스,095570,20230330
526678,동방선기,099410,20230330
459871,농심홀딩스,072710,20230330
601988,코난테크놀로지,402030,20230330
573579,평화산업,090080,20230330
634728,이크레더블,092130,20230330
861076,케이탑리츠,145270,20230330
910840,윈하이텍,192390,20230330
152589,코리아나,027050,20230223
184667,유진기업,023410,20230920
442561,에프알텍,073540,20230925
109781,대림제지,017650,20230228
1223219,에이에프더블류,312610,20230330
1258428,프레스티지바이오로직스,334970,20230330
1396676,일승,333430,20230330
361266,코원플레이,056000,20230330
1055317,비엔디생활건강,215050,20230421
173591,세원물산,024830,20231129
190321,케이티,030200,20240111
1344202,뷰노,338220,20240115
252135,주성엔지니어링,036930,20230223
776820,영원무역,111770,20230223
599285,서플러스글로벌,140070,20230223
138367,플레이위드,023770,20231130
867478,아시아종묘,154030,20231130
550994,아이센스,099190,20230223
666329,코나솔,176590,20230223
1566248,에코프로에이치엔,383310,20230223
1692321,미래에셋비전스팩2호,446190,20230224
107613,이수페타시스,007660,20230403
113225,대한제강,084010,20230403
118451,동일제강,002690,20230403
117708,리드코프,012700,20230403
261656,잉크테크,049550,20231204
139454,애경산업,018250,20231204
1546101,아이엠티,451220,20231204
1786514,삼성스팩9호,468510,20231204
407771,듀오백,073190,20231204
1475609,디앤디플랫폼리츠,377190,20240122
140779,영보화학,014440,20240123
1534522,삼성머스트기업인수목적5호,380320,20240123
105138,파라텍,033540,20230612
1187175,라이프사이언스테크놀로지,285770,20230612
1622331,벨로크,424760,20230612
922304,아셈스,136410,20230223
226352,케이엠더블유,032500,20230223
925587,위드텍,348350,20230223
1394669,누보,332290,20230224
872656,금양그린파워,282720,20230313
134565,이스타코,015020,20230403
125822,삼보산업,009620,20230403
143226,엠투엔,033310,20230403
219361,해성산업,034810,20230403
228712,동우팜투테이블,088910,20230403
244561,그래디언트,035080,20230403
140858,와이엠,007530,20230426
1781847,교보15호스팩,465320,20231205
1226234,와이바이오로직스,338840,20231205
667373,현대힘스,460930,20240126
1186671,바이오시네틱스,281310,20230612
136624,신영와코루,005800,20230223
1259232,노바텍,285490,20230223
248974,하나제약,293480,20230403
300557,위니아,071460,20230403
308896,셀피글로벌,068940,20230403
671376,티웨이항공,091810,20230403
413417,우리손에프앤지,073560,20230403
344287,HD현대인프라코어,042670,20230426
296078,APS,054620,20230426
624378,마이크로투나노,424980,20230426
148610,한화투자증권,003530,20230725
222213,피케이엘,039870,20231206
250614,삼영엠텍,054540,20240620
330424,LS증권,078020,20240621
1816268,KB제29호스팩,478390,20240621
495554,와이앤넥스트,090740,20240621
939942,포시에스,189690,20240611
230911,HRS,036640,20240826
498001,모베이스,101330,20240913
397243,티엔아이,066350,20240711
164609,HD현대미포,010620,20240415
842585,네이블,153460,20240415
978075,머니무브,179720,20240415
1150515,대명에너지,389260,20240415
945208,더미동,161570,20240625
109514,티웨이홀딩스,004870,20240626
127954,CJ프레시웨이,051500,20240626
1442966,마스턴프리미어리츠,357430,20240626
1148909,휴럼,284420,20240628
117230,TYM,002900,20240729
874803,AP위성,211270,20240729
1702424,미래에셋비전스팩3호,448830,20240729
393469,녹원씨엔아이,065560,20240729
442835,메타랩스,090370,20240805
349732,코나아이,052400,20240805
560122,한울소재과학,091440,20240805
341916,오스템임플란트,048260,20240814
241236,에이치씨코퍼레이션,037340,20240405
447487,제주반도체,080220,20240807
350048,오성첨단소재,052420,20240523
337296,원포유,122830,20240523
1084364,엔지스테크널러지,208860,20240523
1185867,퓨쳐메디신,341170,20240523
1230255,제주맥주,276730,20240523
305941,노브랜드,145170,20240523
677334,아하,102950,20240626
1818682,한국제15호스팩,479880,20240626
409140,이원컴포텍,088290,20240628
450995,대모,317850,20240628
1784394,STX그린로지스,465770,20240912
202060,구영테크,053270,20240924
161116,HL D&I,014790,20240925
1251489,라온피플,300120,20240510
838962,알서포트,131370,20240524
980043,비큐AI,148780,20240524
370200,와이오엠,066430,20240527
1011368,에이치브이엠,295310,20240628
103121,세븐코스프,017160,20240628
103325,고제,002540,20240628
1026157,쏘카,403550,20240401
130763,서울반도체,046890,20240402
114765,케이비아이동국실업,001620,20240402
1190568,에이피알,278470,20240924
625942,한솔아이원스,114810,20240527
105244,알보젠코리아,002250,20240628
106508,기린,006070,20240628
107923,남한제지,001950,20240628
110051,에스케이머티리얼즈,036490,20240628
111227,대양제지공업,006580,20240628
148896,OCI홀딩스,010060,20240502
264103,에이엠에스,044770,20240628
264839,아이비진,039060,20240628
132992,성우하이텍,015750,20240402
177870,대창솔루션,096350,20240402
141273,웰바이오텍,010600,20240402
145190,유화증권,003460,20240402
153339,태경산업,015890,20240402
186559,콤텍시스템,031820,20240402
365457,제이티,089790,20240402
660121,디에이테크놀로지,196490,20240402
1137383,카카오게임즈,293490,20240402
1284751,시지트로닉스,429270,20240927
1785700,IBKS제23호스팩,467930,20240927
1672114,한국제11호기업인수목적,436610,20240927
909835,차이커뮤니케이션,351870,20240927
117027,알루코,001780,20240923
146427,한주에이알티,058450,20240923
1409022,현대ADM,187660,20240923
159874,한국지주,009760,20240405
408956,제넨바이오,072520,20240610
111829,대웅바이오,016890,20240628
115427,신동방CP,004660,20240628
116499,동신제약,006600,20240628
238977,에스엠화진,134780,20240403
1212383,엔케이맥스,262760,20240628
163716,한창,005110,20240905
1014055,에스트래픽,234300,20240905
1817081,SK이터닉스,475150,20240411
544577,브이엠,089970,20240424
1807729,하나33호스팩,475250,20240424
645089,NHN벅스,104200,20240424
118460,태림페이퍼,019300,20240628
